datetime,atr
2022-04-26,7.9189
2022-04-27,7.8990
2022-04-28,8.1883
2022-04-29,8.7488
2022-05-02,8.8760
2022-05-03,8.6263
2022-05-04,9.1107
2022-05-05,9.8137
2022-05-06,9.7385
2022-05-09,10.0668
2022-05-10,10.1247
2022-05-11,10.2350
2022-05-12,10.2388
2022-05-13,10.2554
2022-05-16,9.9624
2022-05-17,9.8359
2022-05-18,10.3594
2022-05-19,10.1045
2022-05-20,10.5206
2022-05-23,10.3280
2022-05-24,10.2775
2022-05-25,10.0650
2022-05-26,10.0133
2022-05-27,9.9929
2022-05-31,9.7228
2022-06-01,9.6707
2022-06-02,9.6975
2022-06-03,9.5485
2022-06-06,9.2852
2022-06-07,9.2161
2022-06-08,8.9331
2022-06-09,9.0057
2022-06-10,9.1691
2022-06-13,9.6526
2022-06-14,9.4703
2022-06-15,9.6066
2022-06-16,9.9637
2022-06-17,9.7516
2022-06-21,9.7941
2022-06-22,9.6863
2022-06-23,9.4061
2022-06-24,9.5679
2022-06-27,9.1561
2022-06-28,9.3773
2022-06-29,8.9743
2022-06-30,8.8944
2022-07-01,8.8065
2022-07-05,8.8067
2022-07-06,8.6121
2022-07-07,8.4530
2022-07-08,8.1943
2022-07-11,7.9672
2022-07-12,7.8950
2022-07-13,7.8343
2022-07-14,7.8297
2022-07-15,7.7791
2022-07-18,7.8076
2022-07-19,8.0066
2022-07-20,7.7972
2022-07-21,7.7398
2022-07-22,7.7019
2022-07-25,7.3776
2022-07-26,7.2401
2022-07-27,7.5538
2022-07-28,7.6137
2022-07-29,7.5521
2022-08-01,7.3599
2022-08-02,7.2624
2022-08-03,7.2717
2022-08-04,6.9359
2022-08-05,6.7572
2022-08-08,6.6758
2022-08-09,6.3909
2022-08-10,6.5435
2022-08-11,6.4739
2022-08-12,6.5118
2022-08-15,6.3723
2022-08-16,6.2532
2022-08-17,6.1641
2022-08-18,5.9394
2022-08-19,5.9773
2022-08-22,6.2253
2022-08-23,6.0336
2022-08-24,5.8604
2022-08-25,5.8500
2022-08-26,6.4514
2022-08-29,6.3122
2022-08-30,6.4226
2022-08-31,6.3935
2022-09-01,6.4039
2022-09-02,6.7243
2022-09-06,6.6390
2022-09-07,6.7461
2022-09-08,6.7313
2022-09-09,6.7446
2022-09-12,6.6183
2022-09-13,7.4657
2022-09-14,7.2844
2022-09-15,7.2617
2022-09-16,7.1884
2022-09-19,7.1183
2022-09-20,7.1216
2022-09-21,7.4431
2022-09-22,7.2051
2022-09-23,7.4510
2022-09-26,7.4184
2022-09-27,7.5516
2022-09-28,7.6872
2022-09-29,7.8917
2022-09-30,7.9452
2022-10-03,8.1688
2022-10-04,8.3808
2022-10-05,8.3743
2022-10-06,8.1965
2022-10-07,8.4706
2022-10-10,8.3206
2022-10-11,8.2356
2022-10-12,7.8921
2022-10-13,8.6783
2022-10-14,8.9839
2022-10-17,9.0867
2022-10-18,9.0381
2022-10-19,8.8309
2022-10-20,8.7610
2022-10-21,8.9187
2022-10-24,8.7652
2022-10-25,8.5969
2022-10-26,8.4164
2022-10-27,8.2097
2022-10-28,8.3080
2022-10-31,7.9762
2022-11-01,7.9005
2022-11-02,8.3013
2022-11-03,8.1314
2022-11-04,8.1678
2022-11-07,7.9351
2022-11-08,7.8832
2022-11-09,7.9039
2022-11-10,8.7943
2022-11-11,8.5656
2022-11-14,8.3260
2022-11-15,8.2754
2022-11-16,7.9418
2022-11-17,7.7440
2022-11-18,7.5228
2022-11-21,7.2199
2022-11-22,7.0855
2022-11-23,6.8313
2022-11-25,6.4390
2022-11-28,6.4815
2022-11-29,6.2969
2022-11-30,6.8352
2022-12-01,6.7122
2022-12-02,6.6308
2022-12-05,6.7653
2022-12-06,6.8631
2022-12-07,6.6283
2022-12-08,6.4471
2022-12-09,6.2976
2022-12-12,6.2423
2022-12-13,6.5994
2022-12-14,6.7675
2022-12-15,7.0853
2022-12-16,7.0537
2022-12-19,6.9372
2022-12-20,6.7479
2022-12-21,6.7461
2022-12-22,7.0654
2022-12-23,6.9123
2022-12-27,6.6633
2022-12-28,6.6746
2022-12-29,6.7354
2022-12-30,6.6045
2023-01-03,6.7339
2023-01-04,6.6640
2023-01-05,6.5375
2023-01-06,6.7605
2023-01-09,6.6991
2023-01-10,6.5268
2023-01-11,6.4116
2023-01-12,6.3776
2023-01-13,6.3247
2023-01-17,6.0945
2023-01-18,6.2772
2023-01-19,6.1245
2023-01-20,6.2225
2023-01-23,6.2622
2023-01-24,6.0602
2023-01-25,6.1265
2023-01-26,6.0307
2023-01-27,5.9299
2023-01-30,5.8838
2023-01-31,5.8788
2023-02-01,6.2502
2023-02-02,6.3288
2023-02-03,6.2878
2023-02-06,6.1358
